"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H10_001N"," !!Total:"
"H10_001NA","Annotation of  !!Total:"
"H10_002N"," !!Total:!!Owner occupied:"
"H10_002NA","Annotation of  !!Total:!!Owner occupied:"
"H10_003N"," !!Total:!!Owner occupied:!!Householder who is White alone"
"H10_003NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is White alone"
"H10_004N"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone"
"H10_004NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is Black or African American alone"
"H10_005N"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"
"H10_005NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"
"H10_006N"," !!Total:!!Owner occupied:!!Householder who is Asian alone"
"H10_006NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is Asian alone"
"H10_007N"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"
"H10_007NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"
"H10_008N"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"
"H10_008NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"
"H10_009N"," !!Total:!!Owner occupied:!!Householder who is Two or More Races"
"H10_009NA","Annotation of  !!Total:!!Owner occupied:!!Householder who is Two or More Races"
"H10_010N"," !!Total:!!Renter occupied:"
"H10_010NA","Annotation of  !!Total:!!Renter occupied:"
"H10_011N"," !!Total:!!Renter occupied:!!Householder who is White alone"
"H10_011NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is White alone"
"H10_012N"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone"
"H10_012NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is Black or African American alone"
"H10_013N"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"
"H10_013NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"
"H10_014N"," !!Total:!!Renter occupied:!!Householder who is Asian alone"
"H10_014NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is Asian alone"
"H10_015N"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"
"H10_015NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"
"H10_016N"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"
"H10_016NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"
"H10_017N"," !!Total:!!Renter occupied:!!Householder who is Two or More Races"
"H10_017NA","Annotation of  !!Total:!!Renter occupied:!!Householder who is Two or More Races"
