"GEO_ID","NAME","H10_001N","H10_001NA","H10_002N","H10_002NA","H10_003N","H10_003NA","H10_004N","H10_004NA","H10_005N","H10_005NA","H10_006N","H10_006NA","H10_007N","H10_007NA","H10_008N","H10_008NA","H10_009N","H10_009NA","H10_010N","H10_010NA","H10_011N","H10_011NA","H10_012N","H10_012NA","H10_013N","H10_013NA","H10_014N","H10_014NA","H10_015N","H10_015NA","H10_016N","H10_016NA","H10_017N","H10_017NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Owner occupied:","Annotation of  !!Total:!!Owner occupied:"," !!Total:!!Owner occupied:!!Householder who is White alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is White alone"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Black or African American alone"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Owner occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Asian alone"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"," !!Total:!!Owner occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Owner occupied:!!Householder who is Two or More Races"," !!Total:!!Renter occupied:","Annotation of  !!Total:!!Renter occupied:"," !!Total:!!Renter occupied:!!Householder who is White alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is White alone"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Black or African American alone"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Renter occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Asian alone"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"," !!Total:!!Renter occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Renter occupied:!!Householder who is Two or More Races",
"1600000US1714000","Chicago city, Illinois","1142725","null","472199","null","231863","null","106685","null","4701","null","33455","null","111","null","52082","null","43302","null","670526","null","254026","null","230645","null","5987","null","46315","null","255","null","75955","null","57343","null",
"860Z200US60002","ZCTA5 60002","9424","null","7346","null","6652","null","72","null","20","null","146","null","1","null","118","null","337","null","2078","null","1739","null","94","null","14","null","21","null","4","null","64","null","142","null",
"860Z200US60004","ZCTA5 60004","20455","null","15905","null","14091","null","87","null","16","null","1103","null","4","null","139","null","465","null","4550","null","2629","null","262","null","42","null","797","null","0","null","378","null","442","null",
"860Z200US60005","ZCTA5 60005","13022","null","8228","null","7146","null","64","null","25","null","522","null","0","null","165","null","306","null","4794","null","3253","null","241","null","26","null","692","null","3","null","276","null","303","null",
"860Z200US60007","ZCTA5 60007","13810","null","10315","null","8567","null","77","null","18","null","953","null","0","null","268","null","432","null","3495","null","2421","null","195","null","30","null","352","null","4","null","237","null","256","null",
"860Z200US60008","ZCTA5 60008","8904","null","6303","null","4839","null","65","null","40","null","638","null","1","null","344","null","376","null","2601","null","1293","null","175","null","43","null","320","null","1","null","483","null","286","null",
"860Z200US60010","ZCTA5 60010","16861","null","14929","null","12630","null","119","null","27","null","1553","null","1","null","136","null","463","null","1932","null","1547","null","56","null","10","null","172","null","1","null","48","null","98","null",
"860Z200US60012","ZCTA5 60012","3797","null","3440","null","3166","null","10","null","8","null","84","null","1","null","48","null","123","null","357","null","311","null","4","null","4","null","4","null","0","null","12","null","22","null",
"860Z200US60013","ZCTA5 60013","9357","null","8270","null","7448","null","36","null","17","null","185","null","1","null","211","null","372","null","1087","null","896","null","24","null","3","null","14","null","0","null","56","null","94","null",
