"","sensor_index","date","count","max_interval"
"1",3499,2022-01-01,455,25263
"2",3499,2022-01-02,301,48650
"3",3499,2022-01-03,160,27440
"4",3499,2022-01-04,78,63950
"5",3499,2022-01-05,388,36368
"6",3499,2022-01-06,720,132
"7",3499,2022-01-07,625,11524
"8",3499,2022-01-08,720,145
"9",3499,2022-01-09,716,524
"10",3499,2022-01-10,720,126
"11",3499,2022-01-11,718,240
"12",3499,2022-01-12,719,240
"13",3499,2022-01-13,720,138
"14",3499,2022-01-14,697,1353
"15",3499,2022-01-15,583,4810
"16",3499,2022-01-16,634,5977
"17",3499,2022-01-17,691,1399
"18",3499,2022-01-18,679,1793
"19",3499,2022-01-19,720,127
"20",3499,2022-01-20,719,148
"21",3499,2022-01-21,697,1441
"22",3499,2022-01-22,710,1049
"23",3499,2022-01-23,720,130
"24",3499,2022-01-24,718,263
"25",3499,2022-01-25,715,455
"26",3499,2022-01-26,720,210
"27",3499,2022-01-27,720,134
"28",3499,2022-01-28,720,139
"29",3499,2022-01-29,719,139
"30",3499,2022-01-30,719,240
"31",3499,2022-01-31,719,240
"32",3499,2022-02-01,720,131
"33",3499,2022-02-02,720,132
"34",3499,2022-02-03,720,128
"35",3499,2022-02-04,646,1562
"36",3499,2022-02-05,719,240
"37",3499,2022-02-06,716,480
"38",3499,2022-02-07,720,130
"39",3499,2022-02-08,719,143
"40",3499,2022-02-09,715,760
"41",3499,2022-02-10,719,134
"42",3499,2022-02-11,720,128
"43",3499,2022-02-12,720,128
"44",3499,2022-02-13,720,133
"45",3499,2022-02-14,720,139
"46",3499,2022-02-15,720,133
"47",3499,2022-02-16,709,1414
"48",3499,2022-02-17,720,125
"49",3499,2022-02-18,719,129
"50",3499,2022-02-19,719,240
"51",3499,2022-02-20,720,124
"52",3499,2022-02-21,720,129
"53",3499,2022-02-22,720,141
"54",3499,2022-02-23,719,141
"55",3499,2022-02-24,720,129
"56",3499,2022-02-25,720,127
"57",3499,2022-02-26,720,123
"58",3499,2022-02-27,720,127
"59",3499,2022-02-28,720,133
"60",3499,2022-03-01,720,127
"61",3499,2022-03-02,718,240
"62",3499,2022-03-03,719,240
"63",3499,2022-03-04,720,122
"64",3499,2022-03-05,720,121
"65",3499,2022-03-06,710,1286
"66",3499,2022-03-07,720,129
"67",3499,2022-03-08,720,128
"68",3499,2022-03-09,720,124
"69",3499,2022-03-10,719,130
"70",3499,2022-03-11,720,126
"71",3499,2022-03-12,720,123
"72",3499,2022-03-13,720,127
"73",3499,2022-03-14,720,127
"74",3499,2022-03-15,719,238
"75",3499,2022-03-16,719,136
"76",3499,2022-03-17,719,133
"77",3499,2022-03-18,720,133
"78",3499,2022-03-19,719,134
"79",3499,2022-03-20,719,134
"80",3499,2022-03-21,720,140
"81",3499,2022-03-22,719,129
"82",3499,2022-03-23,719,242
"83",3499,2022-03-24,719,241
"84",3499,2022-03-25,719,240
"85",3499,2022-03-26,719,240
"86",3499,2022-03-27,720,132
"87",3499,2022-03-28,720,127
"88",3499,2022-03-29,719,125
"89",3499,2022-03-30,720,127
"90",3499,2022-03-31,720,123
"91",3499,2022-04-01,720,124
"92",3499,2022-04-02,720,131
"93",3499,2022-04-03,718,360
"94",3499,2022-04-04,720,124
"95",3499,2022-04-05,720,127
"96",3499,2022-04-06,717,240
"97",3499,2022-04-07,715,481
"98",3499,2022-04-08,720,123
"99",3499,2022-04-09,720,123
"100",3499,2022-04-10,712,601
"101",3499,2022-04-11,720,129
"102",3499,2022-04-12,718,240
"103",3499,2022-04-13,720,129
"104",3499,2022-04-14,720,125
"105",3499,2022-04-15,717,360
"106",3499,2022-04-16,708,480
"107",3499,2022-04-17,719,240
"108",3499,2022-04-18,718,246
"109",3499,2022-04-19,719,241
"110",3499,2022-04-20,720,127
"111",3499,2022-04-21,720,124
"112",3499,2022-04-22,718,246
"113",3499,2022-04-23,710,1062
"114",3499,2022-04-24,720,133
"115",3499,2022-04-25,720,127
"116",3499,2022-04-26,720,127
"117",3499,2022-04-27,719,127
"118",3499,2022-04-28,720,128
"119",3499,2022-04-29,720,127
"120",3499,2022-04-30,720,127
"121",3499,2022-05-01,720,133
"122",3499,2022-05-02,720,127
"123",3499,2022-05-03,720,138
"124",3499,2022-05-04,716,375
"125",3499,2022-05-05,713,600
"126",3499,2022-05-06,716,420
"127",3499,2022-05-07,718,241
"128",3499,2022-05-08,720,125
"129",3499,2022-05-09,719,243
"130",3499,2022-05-10,719,135
"131",3499,2022-05-11,719,240
"132",3499,2022-05-12,716,407
"133",3499,2022-05-13,719,240
"134",3499,2022-05-14,720,126
"135",3499,2022-05-15,720,133
"136",3499,2022-05-16,718,239
"137",3499,2022-05-17,718,240
"138",3499,2022-05-18,719,240
"139",3499,2022-05-19,703,1308
"140",3499,2022-05-20,720,128
"141",3499,2022-05-21,719,240
"142",3499,2022-05-22,720,129
"143",3499,2022-05-23,720,135
"144",3499,2022-05-24,720,129
"145",3499,2022-05-25,719,130
"146",3499,2022-05-26,720,129
"147",3499,2022-05-27,720,138
"148",3499,2022-05-28,720,130
"149",3499,2022-05-29,720,133
"150",3499,2022-05-30,720,127
"151",3499,2022-05-31,720,130
"152",3499,2022-06-01,711,600
"153",3499,2022-06-02,720,127
"154",3499,2022-06-03,720,129
"155",3499,2022-06-04,720,127
"156",3499,2022-06-05,719,240
"157",3499,2022-06-06,720,142
"158",3499,2022-06-07,718,237
"159",3499,2022-06-08,720,127
"160",3499,2022-06-09,718,241
"161",3499,2022-06-10,715,480
"162",3499,2022-06-11,715,361
"163",3499,2022-06-12,715,240
"164",3499,2022-06-13,720,132
"165",3499,2022-06-14,712,246
"166",3499,2022-06-15,719,240
"167",3499,2022-06-16,720,142
"168",3499,2022-06-17,720,125
"169",3499,2022-06-18,719,133
"170",3499,2022-06-19,720,127
